,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date_action,points_de_vente,nom_action,montant
171,171,171,171,2022-04-15 09:46:52.0,171,COMMISSION_AJOUT,0.0609796998579173
172,172,172,172,2022-04-15 09:46:52.0,172,COMMISSION_AJOUT,0.0304898499289586
173,173,173,173,2022-04-15 09:46:50.0,173,action_eneo_paiement,0.22867387446719
174,174,174,174,2022-04-15 09:46:50.0,174,validation_action_vente_mtn_momo_depot,0.0
175,175,175,175,2022-04-15 09:46:50.0,175,action_vente_mtn_momo_depot,15.2449249644793
176,176,176,176,2022-04-15 09:46:50.0,176,COMMISSION_AJOUT,0.0
177,177,177,177,2022-04-15 09:46:49.0,177,validation_action_vente_mtn_momo_depot,0.0
178,178,178,178,2022-04-15 09:46:46.0,178,action_transfert,0.762246248223966
179,179,179,179,2022-04-15 09:46:46.0,179,COMMISSION_AJOUT,0.0
180,180,180,180,2022-04-15 09:46:46.0,180,COMMISSION_AJOUT,0.0057168468616797
181,181,181,181,2022-04-15 09:46:46.0,181,validation_action_vente_orange_money_depot,0.0
182,182,182,182,2022-04-15 09:46:46.0,182,COMMISSION_AJOUT,0.0304898499289586
183,183,183,183,2022-04-15 09:46:46.0,183,action_vente_orange_money_depot,762.246248223966
184,184,184,184,2022-04-15 09:46:44.0,184,action_vente_mtn_momo_depot,6.09796998579173
185,185,185,185,2022-04-15 09:46:41.0,185,validation_action_vente_mtn_momo_depot,0.0
186,186,186,186,2022-04-15 09:46:41.0,186,action_vente_mtn_momo_depot,7.62246248223966
187,187,187,187,2022-04-15 09:46:41.0,187,COMMISSION_AJOUT,0.0
188,188,188,188,2022-04-15 09:46:41.0,188,COMMISSION_AJOUT,0.0012195939971583
189,189,189,189,2022-04-15 09:46:41.0,189,COMMISSION_AJOUT,0.0
190,190,190,190,2022-04-15 09:46:41.0,190,COMMISSION_AJOUT,0.0091469549786876
191,191,191,191,2022-04-15 09:46:41.0,191,action_login,0.0
192,192,192,192,2022-04-15 09:46:36.0,192,action_transfert,0.762246248223966
193,193,193,193,2022-04-15 09:46:36.0,193,COMMISSION_AJOUT,0.0057168468616797
194,194,194,194,2022-04-15 09:46:36.0,194,COMMISSION_AJOUT,0.0
195,195,195,195,2022-04-15 09:46:36.0,195,COMMISSION_AJOUT,0.0304898499289586
196,196,196,196,2022-04-15 09:46:35.0,196,validation_action_vente_mtn_momo_depot,0.0
197,197,197,197,2022-04-15 09:46:35.0,197,action_vente_mtn_momo_depot,15.2449249644793
198,198,198,198,2022-04-15 09:46:35.0,198,action_eneo_paiement,4.80215136381099
199,199,199,199,2022-04-15 09:46:35.0,199,COMMISSION_AJOUT,0.0
200,200,200,200,2022-04-15 09:46:35.0,200,action_login,0.0
201,201,201,201,2022-04-15 09:46:34.0,201,action_eneo_paiement,1.67694174609273
202,202,202,202,2022-04-15 09:46:34.0,202,COMMISSION_AJOUT,0.0381123124111983
203,203,203,203,2022-04-15 09:46:34.0,203,COMMISSION_AJOUT,0.0762246248223966
204,204,204,204,2022-04-15 09:46:33.0,204,action_login,0.0
205,205,205,205,2022-04-15 09:46:29.0,205,action_eneo_paiement,16.4431760666874
206,206,206,206,2022-04-15 09:46:29.0,206,COMMISSION_AJOUT,0.0
207,207,207,207,2022-04-15 09:46:29.0,207,COMMISSION_AJOUT,0.0762246248223966
208,208,208,208,2022-04-15 09:46:29.0,208,COMMISSION_AJOUT,0.152449249644793
209,209,209,209,2022-04-15 09:46:27.0,209,action_transfert,4.5734774893438
210,210,210,210,2022-04-15 09:46:27.0,210,COMMISSION_AJOUT,0.0
211,211,211,211,2022-04-15 09:46:27.0,211,COMMISSION_AJOUT,0.045734774893438
212,212,212,212,2022-04-15 09:46:27.0,212,COMMISSION_AJOUT,0.274408649360628
213,213,213,213,2022-04-15 09:46:27.0,213,validation_action_vente_mtn_momo_depot,0.0
214,214,214,214,2022-04-15 09:46:25.0,214,action_transfert,0.381123124111983
215,215,215,215,2022-04-15 09:46:25.0,215,COMMISSION_AJOUT,0.0
216,216,216,216,2022-04-15 09:46:25.0,216,COMMISSION_AJOUT,0.0
217,217,217,217,2022-04-15 09:46:25.0,217,COMMISSION_AJOUT,0.0028584234308398
218,218,218,218,2022-04-15 09:46:25.0,218,COMMISSION_AJOUT,0.0152449249644793
219,219,219,219,2022-04-15 09:46:25.0,219,action_login,0.0
220,220,220,220,2022-04-15 09:46:22.0,220,action_vente_mtn_momo_cashout,7.47001323259487
221,221,221,221,2022-04-15 09:46:22.0,221,COMMISSION_AJOUT,0.0
222,222,222,222,2022-04-15 09:46:22.0,222,COMMISSION_AJOUT,0.0
223,223,223,223,2022-04-15 09:46:22.0,223,COMMISSION_AJOUT,0.041652793784949
224,224,224,224,2022-04-15 09:46:22.0,224,action_vente_mtn_momo_depot,15.2449249644793
225,225,225,225,2022-04-15 09:46:21.0,225,action_eneo_paiement,0.990920122691156
226,226,226,226,2022-04-15 09:46:21.0,226,COMMISSION_AJOUT,0.0
227,227,227,227,2022-04-15 09:46:19.0,227,action_login,0.0
228,228,228,228,2022-04-15 09:46:17.0,228,validation_action_vente_mtn_momo_depot,0.0
229,229,229,229,2022-04-15 09:46:13.0,229,action_vente_mtn_momo_depot,7.62246248223966
230,230,230,230,2022-04-15 09:46:12.0,230,validation_action_vente_mtn_momo_depot,0.0
231,231,231,231,2022-04-15 09:46:12.0,231,action_eneo_paiement,1.44826787162554
232,232,232,232,2022-04-15 09:46:12.0,232,action_vente_mtn_momo_depot,45.734774893438
233,233,233,233,2022-04-15 09:46:12.0,233,COMMISSION_AJOUT,0.0
234,234,234,234,2022-04-15 09:46:12.0,234,COMMISSION_AJOUT,0.0381123124111983
235,235,235,235,2022-04-15 09:46:12.0,235,COMMISSION_AJOUT,0.0762246248223966
236,236,236,236,2022-04-15 09:46:12.0,236,action_vente_mtn_momo_payment,30.4898499289586
237,237,237,237,2022-04-15 09:46:12.0,237,action_eneo_paiement,3.73500661629743
238,238,238,238,2022-04-15 09:46:11.0,238,COMMISSION_AJOUT,0.0571684686167975
239,239,239,239,2022-04-15 09:46:10.0,239,COMMISSION_AJOUT,0.114336937233595
240,240,240,240,2022-04-15 09:46:06.0,240,action_eneo_paiement,2.89653574325107
241,241,241,241,2022-04-15 09:46:06.0,241,COMMISSION_AJOUT,0.0
242,242,242,242,2022-04-15 09:46:06.0,242,action_transfert,0.762246248223966
243,243,243,243,2022-04-15 09:46:06.0,243,COMMISSION_AJOUT,0.0381123124111983
244,244,244,244,2022-04-15 09:46:06.0,244,validation_action_vente_mtn_momo_depot,0.0
245,245,245,245,2022-04-15 09:46:04.0,245,action_login,0.0
246,246,246,246,2022-04-15 09:46:04.0,246,action_login,0.0
247,247,247,247,2022-04-15 09:46:04.0,247,action_eneo_paiement,22.224051613218
248,248,248,248,2022-04-15 09:46:04.0,248,COMMISSION_AJOUT,0.121959399715835
249,249,249,249,2022-04-15 09:46:04.0,249,COMMISSION_AJOUT,0.106714474751355
250,250,250,250,2022-04-15 09:46:02.0,250,action_login,0.0
